Name	Portuguese	Semantic	Concepticon	Eol
ABOVE	EM CIMA (DE)	SPATIAL_RELATIONS	1741	
AFTER	DEPOIS (DE)	SPATIAL_RELATIONS	1685	
AGOUTI	CUTIA	ANIMALS	313	42029
ALL	TODOS / TUDO	QUANTITY	98	
ALONE	SÓ / SOZINHO	QUANTITY	1964	
ANACONDA	SUCURI	ANIMALS	896	794661
ANATTO	URUCU	AGRICULTURE_AND_VEGETATION		584439
ANT	FORMIGA	ANIMALS	587	
ANTEATER	TAMANDUÁ	ANIMALS	181	1661
MOUNTAIN SOURSOP	ARATICUM / JACA DE POBRE	FOOD_AND_DRINK		1054865
ARM	BRAÇO	BODY	1673	
ARMADILLO	TATU	ANIMALS	1885	
ARRIVE	CHEGAR	MOTION	1387	
ARROW	FLECHA	WARFARE_AND_HUNTING	977	
ASHES	CINZA (S)	PHYSICAL_WORLD	646	
AVENGE	VINGAR (-SE)	EMOTIONS_AND_VALUES	495	
AXE	MACHADO	WARFARE_AND_HUNTING	677	
AÇAÍ PALM	AÇAÍ	AGRICULTURE_AND_VEGETATION	2437	1100375
BACK	COSTAS	BODY	1291	
BABAÇU	BABAÇU	AGRICULTURE_AND_VEGETATION		1131651
BAD / EVIL	MAU / MAL / RUIM	EMOTIONS_AND_VALUES	3764	
BAMBOO	TAQUARA / BAMBU	AGRICULTURE_AND_VEGETATION	1827	
BANANA	BANANA	FOOD_AND_DRINK	868	44527
BASKET	CESTO / CESTA	BASIC_ACTIONS_AND_TECHNOLOGY	1539	
BAT	MORCEGO	ANIMALS	1793	7631
BATHE	BANHAR-SE	BODY	138	
BEADS	MIÇANGAS / CONTAS	CLOTHING_AND_GROOMING	1860	
BE WRONG	ERRAR / ESTAR ERRADO	EMOTIONS_AND_VALUES	1390	
BEANS	FEIJÃO	FOOD_AND_DRINK	2574	4277
BEARD	BARBA	BODY	678	
BEAUTIFUL	BONITO	EMOTIONS_AND_VALUES	1427	
BEE	ABELHA	ANIMALS	665	
BELLY	UMBIGO	BODY	1251	
BELLYBUTTON	UMBIGO	BODY	3715	
BELOW	EM BAIXO DE / ABAIXO	SPATIAL_RELATIONS	1485	
BENCH	BANCO	BASIC_ACTIONS_AND_TECHNOLOGY	2584	
BIG	GRANDE	SPATIAL_RELATIONS	1202	
BIRD	PÁSSARO	ANIMALS	937	
BITE	MORDER	BODY	1403	
BLACK	PRETO	SENSE_PERCEPTION	163	
BLOOD	SANGUE	BODY	946	
BLOW	SOPRAR	MOTION	176	
BLUE	AZUL	SENSE_PERCEPTION	837	
BODY	CORPO	BODY	1480	
BONE	OSSO	BODY	1394	
BOW	ARCO	WARFARE_AND_HUNTING	994	
BOY	MENINO	KINSHIP	1366	
BRANCH	GALHO	AGRICULTURE_AND_VEGETATION	1531	
BRAZIL NUT	CASTANHA DO PARÁ	FOOD_AND_DRINK		321258
BREAK	QUEBRAR / ROMPER	BASIC_ACTIONS_AND_TECHNOLOGY	3020	
BREAST	SEIO	BODY	1402	
BREATHE	RESPIRAR	BODY	1407	
BROTHER	IRMÃO	KINSHIP	1262	
BROTHER, younger of man	IRMÃO	KINSHIP		
BROTHER, older of man	IRMÃO	KINSHIP		
BROTHER, younger of woman	IRMÃO	KINSHIP		
BROTHER, older of woman	IRMÃO	KINSHIP		
BURN (intr)	QUEIMAR	PHYSICAL_WORLD	2102	
BURN (tr)	QUEIMAR	PHYSICAL_WORLD	141	
BURY	ENTERRAR	BODY	1719	
BUTTOCKS	NÁDEGAS	BODY	834	
SLASH / GARDEN	ROÇA	AGRICULTURE_AND_VEGETATION	201	
BUTTERFLY	BORBOLETA	ANIMALS	1791	854
CALABASH / GOURD	CABAÇA, CUIA	AGRICULTURE_AND_VEGETATION	411	578228
CANOE	CANOA	MOTION	1970	
CAPUCHIN MONKEY	MACACO PREGO	ANIMALS		28561340
CAPYBARA	CAPIVARA	ANIMALS	314	326517
CARÁ ROOT / YAM	INHAME	AGRICULTURE_AND_VEGETATION	410	8214
(Brazilian) CEDAR	ACAIACÁ / CEDRO-BATATA	AGRICULTURE_AND_VEGETATION		6953697
CENTIPEDE	CENTOPEIA / LACRAIA	ANIMALS	1974	576
CHICHA	CHICHA	FOOD_AND_DRINK	441
CHIEF / MASTER / OWNER	CHEFE / CACIQUE	SOCIAL_AND_POLITICAL_RELATIONS	2394	
CASHEW	CAJU	FOOD_AND_DRINK	2441	71147
CHILD	CRIANÇA	KINSHIP	2099	
CICADA	CIGARRA	ANIMALS	2353	2645413
CLAW	GARRA	BODY	2128	
CLAY / MUD	BARRO / ARGILA	BASIC_ACTIONS_AND_TECHNOLOGY / THE_PHYSICAL_WORLD	1399 / 640	
CLOUD	NUVEM	PHYSICAL_WORLD	1489	
COATI	QUATI	ANIMALS	2389	328601
COCKROACH	BARATA	ANIMALS	1575	413
COCOA	CACAU	AGRICULTURE_AND_VEGETATION	2442	484592
COLD	FRIO	SENSE_PERCEPTION	1287	
COME	VIR	MOTION	1446	
