Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes	Portuguese	Semantic	Concepticon	Eol
Karo_Arara	ABOVE	naʔot	n a ʔ o t	3.0	4	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Makurap	ABOVE	teteʔ	t e t e ʔ	2745.0	2	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Wayoro	ABOVE	tere	t e r e	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Akuntsu	ABOVE	top	t o p	5.0	1	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Gaviao_Ikoloehj	ABOVE	tára	t á r a	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Surui_Paiter	ABOVE	enu	e n u	6.0	6	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Karitiana	ABOVE	anigokɨp	a n i g o k ɨ p	4.0	5	ABOVE	Does not distinguish on and over (Everett, 2013: 84)	EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Karitiana	ABOVE	okɨp	o k ɨ p	4.0	5	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Juruna_Yudja	ABOVE	tʃade	tʃ a d e	2745.0	2	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Munduruku	ABOVE	dʒedʒe	dʒ e dʒ e	2745.0	2	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Kuruaya	ABOVE	dede	d e d e	2745.0	2	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Satere_Mawe	ABOVE	tote	t o t e	2745.0	2	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Aweti	ABOVE	ʔapo	ʔ a p o	1.0	3	ABOVE		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
Parakana	ABOVE	ɨwate	ɨ w a + t e	2.0	2 7	LOW DIFFERENT		EM CIMA (DE)	SPATIAL_RELATIONS	1741	
