Language	Concept	Form	Tokens	SimpleCognate	PartialCognate	Morphemes	Notes
Karo_Arara	ABOVE	naʔot	n a ʔ o t	3.0	4	ABOVE	
Makurap	ABOVE	teteʔ	t e t e ʔ	2745.0	2	ABOVE	
Wayoro	ABOVE	tere	t e r e	1.0	3	ABOVE	
Akuntsu	ABOVE	top	t o p	5.0	1	ABOVE	
Gaviao_Ikoloehj	ABOVE	tára	t á r a	1.0	3	ABOVE	
Surui_Paiter	ABOVE	enu	e n u	6.0	6	ABOVE	
Karitiana	ABOVE	anigokɨp	a n i g o k ɨ p	4.0	5	ABOVE	Does not distinguish on and over (Everett, 2013: 84)
Karitiana	ABOVE	okɨp	o k ɨ p	4.0	5	ABOVE	
Juruna_Yudja	ABOVE	tʃade	tʃ a d e	2745.0	2	ABOVE	
Munduruku	ABOVE	dʒedʒe	dʒ e dʒ e	2745.0	2	ABOVE	
Kuruaya	ABOVE	dede	d e d e	2745.0	2	ABOVE	
Satere_Mawe	ABOVE	tote	t o t e	2745.0	2	ABOVE	
Aweti	ABOVE	ʔapo	ʔ a p o	1.0	3	ABOVE	
Parakana	ABOVE	ɨwate	ɨ w a + t e	2.0	2 7	LOW DIFFERENT	
Asurini_do_Tocantins	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE	
Surui_Aikewara	ABOVE	ɨwete	ɨ w e + t e	2.0	2 7	LOW DIFFERENT	
Tapirape_Apyawa	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE	
Tembe	ABOVE	ʔaramo	ʔ a r a + m o	1.0	3 17	ABOVE THERE	
Tembe	ABOVE	iwate	i w a + t e	2.0	2 7	LOW DIFFERENT	
Guajajara	ABOVE	ʔaromo	ʔ a r o + m o	1.0	3 17	ABOVE THERE	
Apiaka	ABOVE	iwate	i w a + t e	2.0	2 7	LOW DIFFERENT	
Parintintin	ABOVE	ʔara	ʔ a r a	1.0	3	ABOVE	
Amondawa	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE	
Tenharim	ABOVE	ʔara	ʔ a r a	1.0	3	ABOVE	
Urueuwauwau	ABOVE	ʔarimo	ʔ a r i + m o	1.0	3 17	ABOVE THERE	
Tupi_do_Machado_Wirafed	ABOVE	árimo	á r i + m o	1.0	3 17	ABOVE THERE	
Kayabi	ABOVE	ʔarimũ	ʔ a r i + m ũ	1.0	3 17	ABOVE THERE	
Arawete	ABOVE	uhe	u h e	3.0	4	ABOVE	
Guaja	ABOVE	ehe	e h e	3.0	4	ABOVE	
Amanaye	ABOVE	ɨwatá	ɨ w a + t á	2.0	2 7	LOW DIFFERENT	
Emerillon_Teko	ABOVE	ʔal	ʔ a l	1.0	3	ABOVE	
Emerillon_Teko	ABOVE	wate_kɨti	w a t e + k ɨ t i	2.0	2 7 34	HIGH DIRECTIVE	
Wayampi	ABOVE	alɨwo	a l ɨ + w o	1.0	3	ABOVE	
Wayampi	ABOVE	wate	w a + t e	2.0	2 7	LOW DIFFERENT	
Zo_e	ABOVE	ʔat	ʔ a t	3.0	4	ABOVE	
Zo_e	ABOVE	wate	w a + t e	2.0	2 7	LOW DIFFERENT	
Ka_apor_Urubu	ABOVE	ʔar	ʔ a r	1.0	3	ABOVE	
Anambe	ABOVE	aha	a h a	3.0	4	ABOVE	
Anambe	ABOVE	amũ	a m ũ	1.0	3	ABOVE THERE	
Turiwara	ABOVE	ɨwaterɨ	ɨ w a + t e + r ɨ	2.0	2 7	LOW DIFFERENT	
Kamajura	ABOVE	ʔarim	ʔ a r i + m	1.0	3 17	ABOVE	
Asurini_do_Xingu	ABOVE	árimo	á r i + m o	1.0	3 17	ABOVE THERE	
Ava_Canoeiro	ABOVE	ɨwati	ɨ w a + t i	2.0	2 7	ABOVE	
Tupinamba	ABOVE	ʔari	ʔ a r i	1.0	3	ABOVE	
Nheengatu	ABOVE	apira	a p i r a	537.0	33	ABOVE	
Lingua_Geral_Paulista_Tupi_austral	ABOVE	ara	a r a	1.0	3	ABOVE	
Lingua_Geral_Paulista_Tupi_austral	ABOVE	ibati	i b a + t i	2.0	2 7	LOW DIFFERENT	
Yuki	ABOVE	ibáte	i b á + t e	2.0	2 7	LOW DIFFERENT	
Guarayo	ABOVE	aramo	a r a + m o	1.0	3 17	ABOVE THERE	
Guarayo	ABOVE	arɨve	a r ɨ + v e	1.0	3 17	ABOVE	
Siriono	ABOVE	ibate	i b a + t e	2.0	2 7	LOW DIFFERENT	
Warazu_Pauserna	ABOVE	iwate	i w a + t e	2.0	2 7	LOW DIFFERENT	
Chiriguano	ABOVE	ɨwati	ɨ w a + t i	2.0	2 7	LOW DIFFERENT	
Mbya	ABOVE	arõ	a r õ	1.0	3	ABOVE	
Mbya	ABOVE	arɨ	a r ɨ	1.0	3	ABOVE	
Guarani_Paraguay	ABOVE	ʔári	ʔ á r i	1.0	3	ABOVE	
Old_Guarani	ABOVE	ɨβate	ɨ β a + t e	2.0	2 7	LOW DIFFERENT	
Kaiowa	ABOVE	ári	á r i	1.0	3	ABOVE	
Tapiete	ABOVE	wate	w a + t e	2.0	2 7	LOW DIFFERENT	
Chiripa_Nandeva_Ava_Guarani	ABOVE	ʔarɨ	ʔ a r ɨ	1.0	3	ABOVE	
Omagua	ABOVE	ɨwati	ɨ w a + t i	2.0	2 7	LOW DIFFERENT	
Cocama_Cocamilla	ABOVE	arɨwa	a r ɨ + w a	1.0	2 17	ABOVE	
Nheengatu	ABOVE	ararupi	a r a + r u p i	1.0	3 35	ABOVE _POSTPOSITION	
Guayaki_Ache	ABOVE	jabu	j a + b u	2008.0	278 279	DEMONSTRATIVE _CONDITIONAL	
Satere_Mawe	ABOVE	upi	u p i	1.0	35	ABOVE	
Old_Guarani	ABOVE	ʔar	ʔ a r	1.0	3	ABOVE	
Old_Guarani	ABOVE	osé	o s é	2822.0	533	ABOVE	
Old_Guarani	ABOVE	osepe	o s + e p e	2822.0	533 534	ABOVE	
Karo_Arara	AFTER	kanə̃j̃	k a n ə̃ j̃	18.0	72	AFTER	
Wayoro	AFTER	karemõ	k a r e m õ	8.0	65	AFTER	
Tupari	AFTER	pe	p e	12.0	70	AFTER	
Akuntsu	AFTER	erape	e r a + p e	8.0	65	AFTER LOC	
Mekens_Sakurabiat	AFTER	kikitú	k i k i t ú/u	9.0	68	AFTER	
Gaviao_Ikoloehj	AFTER	pí	p í	12.0	70	AFTER	
Gaviao_Ikoloehj	AFTER	abi	a b i	12.0	70	AFTER	
Karitiana	AFTER	amɨk	a m ɨ k	10.0	66	AFTER	
Karitiana	AFTER	mãsog	m ã s o g	16.0	76	AFTER	
Karitiana	AFTER	mõrasõg	m õ r a s õ g	16.0	76	AFTER	
Karitiana	AFTER	mɨɨ	m ɨː	10.0	66	AFTER	
Xipaya	AFTER	táde	t á d e	11.0	71	AFTER	
Juruna_Yudja	AFTER	táde	t á/a d e	11.0	71	AFTER	
Juruna_Yudja	AFTER	duháhé	d u h á/a h é/e	11.0	71	AFTER	
Juruna_Yudja	AFTER	tʃihé	tʃ i h é/e	11.0	71	AFTER	
Munduruku	AFTER	ŋəjdʒom	ŋ ə j dʒ o m	9.0	68	AFTER	
Munduruku	AFTER	ŋebədʒe	ŋ e b ə + dʒ e	9.0	68	? FUTURO	
Satere_Mawe	AFTER	hawɨj	h a w ɨ j	13.0	74	AFTER	
Satere_Mawe	AFTER	ẽ	ẽ	20.0	77	AFTER	
Parakana	AFTER	ʃowe	ʃ o w e	13.0	74	AFTER	
Tapirape_Apyawa	AFTER	ãʔẽre	ã ʔ ẽ r e	8.0	65	AFTER	
