Language	Concept	Portuguese	Form	Semantic	Concepticon	Cognate	Notes
Xipaya	ABOVE	EM CIMA (DE)		SPATIAL RELATIONS	1741		
Xipaya	AFTER	DEPOIS (DE)	táde	SPATIAL RELATIONS	1685	7	
Xipaya	AGOUTI / PACA	CUTIA	kuzi	ANIMALS	313	1	
Xipaya	ALL	TODOS / TUDO	kiwi	QUANTITY	98	D	
Xipaya	ALONE	SÓ / SOZINHO	meme	QUANTITY	1964		
Xipaya	ANACONDA	SUCURI	adʒa	ANIMALS	896	3	
Xipaya	ANATTO	URUCU	makapa	AGRICULTURE AND VEGETATION		2	
Xipaya	ANT	FORMIGA	tãrãkuã	ANIMALS	587		
Xipaya	ANTEATER	TAMANDUÁ	mazi	ANIMALS	181		
Xipaya	MOUNTAIN SOURSOP	ARATICUM / JACA DE POBRE		FOOD AND DRINK			
Xipaya	ARM	BRAÇO	abɨ / makɨ	BODY	1673	5 /	
Xipaya	ARMADILLO	TATU	dusa	ANIMALS	1885	3	
Xipaya	ARRIVE	CHEGAR	wɨ	MOTION	1387	1	
Xipaya	ARROW	FLECHA	tukáya	WARFARE AND HUNTING	977	A	
Xipaya	ASH	CINZA(S)	pubuka	PHYSICAL WORLD	646		
Xipaya	AVENGE	VINGAR(-SE)			495		
Xipaya	AXE	MACHADO	pɨtápa	WARFARE AND HUNTING	677	5	
Xipaya	AÇAÍ PALM	AÇAÍ	manakura	AGRICULTURE AND VEGETATION	2437	1	
Xipaya	BACK	COSTAS	aze	BODY	1291	3	
Xipaya	BABAÇU	BABAÇU		AGRICULTURE AND VEGETATION			
Xipaya	BAD / EVIL	MAU / MAL / RUIM	meu	EMOTIONS AND VALUES	3764		
Xipaya	BAMBOO	TAQUARA / BAMBU		AGRICULTURE AND VEGETATION	1827		
Xipaya	BANANA	BANANA	pakuã	FOOD AND DRINK	868	1	
Xipaya	BASKET	CESTO / CESTA	kaniama	BASIC ACTIONS AND TECHNOLOGY	1539		
Xipaya	BAT	MORCEGO	asa	ANIMALS	1793		
Xipaya	BATHE	BANHAR-SE	etajta	BODY	138		
Xipaya	BEADS	MIÇANGAS / CONTAS	  	CLOTHING AND GROOMING	1860		
Xipaya	BE WRONG	ERRAR / ESTAR ERRADO		EMOTIONS AND VALUES	1390		
Xipaya	BEANS	FEIJÃO	piu	FOOD AND DRINK	2574	8	
Xipaya	BEARD	BARBA	ɲaβutapa	BODY	678		
Xipaya	BEAUTIFUL	BONITO	pɨa	EMOTIONS AND VALUES	1427		
Xipaya	BEE	ABELHA	wɨa	ANIMALS	665		
Xipaya	BELLY	UMBIGO	waza	BODY	1251	7	
Xipaya	BELLYBUTTON	UMBIGO		BODY	3715		
Xipaya	BELOW	EM BAIXO DE / ABAIXO		SPATIAL RELATIONS	1485		
Xipaya	BENCH	BANCO	pɨkápa		2584	1	
Xipaya	BIG	GRANDE	úrahu	SPATIAL RELATIONS	1202	1	
Xipaya	BIRD	PÁSSARO	iti	ANIMALS	937		
Xipaya	BITE	MORDER	tu	BODY	1403	1	
Xipaya	BLACK	PRETO	tiniki	SENSE PERCEPTION	163		
Xipaya	BLOOD	SANGUE	apéta	BODY	946	7	
Xipaya	BLOW	SOPRAR	tuʃi	MOTION	176		
Xipaya	BLUE	AZUL		SENSE PERCEPTION	837		
Xipaya	BONE	OSSO	pákɨ	BODY	1394	3	
Xipaya	BOW	ARCO	tukáma	WARFARE AND HUNTING	994		
Xipaya	BOY	MENINO	sanapi**	KINSHIP	1366		
Xipaya	BRANCH	GALHO	sãpoawatapa	AGRICULTURE AND VEGETATION	1531		
Xipaya	BRAZIL NUT	CASTANHA DO PARÁ	ijã	FOOD AND DRINK			
Xipaya	BREAK	QUEBRAR / ROMPER	apídu	BASIC ACTIONS AND TECHNOLOGY	3020		
Xipaya	BREAST	SEIO	nama	BODY	1402	1	
Xipaya	BREATHE	RESPIRAR		BODY	1407		
Xipaya	BROTHER	IRMÃO		KINSHIP	1262		
Xipaya	BURN (INTR)	QUEIMAR	tuʃi	PHYSICAL WORLD	2102	4	
Xipaya	BURN (TR)	QUEIMAR	tuʃi	PHYSICAL WORLD	141	4	
Xipaya	BURY	ENTERRAR	katú	BODY	1719	2	also means 'to plant'
Xipaya	BUTTOCKS	NÁDEGAS	ʃibia	BODY	834		
Xipaya	SLASH / GARDEN	ROÇA	kua	AGRICULTURE AND VEGETATION	201	1	
Xipaya	BUTTERFLY	BORBOLETA	surusuru / suusuru	ANIMALS	1791	5	
Xipaya	CALABASH / GOURD	CABAÇA, CUIA	ʃia / wáẽ	AGRICULTURE AND VEGETATION	411	1 / 2	
Xipaya	CANOE	CANOA	pɨza	MOTION	1970	7	
Xipaya	CAPUCHIN MONKEY	MACACO PREGO	jãpãrũmã	ANIMALS		5	
Xipaya	CAPYBARA	CAPIVARA	ata	ANIMALS	314	4	
Xipaya	CARÁ ROOT / YAM	INHAME	wasa	AGRICULTURE AND VEGETATION	410	2	
Xipaya	CHIEF / MASTER / OWNER	CHEFE / CACIQUE	iwa	SOCIAL AND POLITICAL RELATIONS	2394		
Xipaya	CASHEW	CAJU	ijã	FOOD AND DRINK	2441	3	
